S.No,Course Code,Course Name,Course Category,Course Type,Credits,Lectures,Tutorial,Practical,Course Coordinators/Instructors
S.No,AML100,Engineering Mechanics,Institute Core,THEORY,4,3,1,0,
S.No,BBL001U3E,Bioanalytical Methods,Open Category,THEORY,1.5,1.5,0,0,"Instructor:Dharitri Rath (IITJMU11069), Instructor:Vinay Sharma (IITJMU11101)"
S.No,BBL003U3E,Biomedical Signal Processing,Open Category,THEORY,3,3,0,0,Course Coordinator: Karan Nathwani (IITJMU11009)
S.No,BBL010U3E,Nanobiotechnology,Open Category,THEORY,1.5,1.5,0,0,Course Coordinator: Vinay Sharma (IITJMU11101)
S.No,BBL011P6M,Research Methods and Ethics,Institute Core,THEORY,1.5,1.5,0,0,Course Coordinator: Uma Shankar (IITJMU91007)
S.No,,,,,,,,,Instructor:Suresh Roland Devasahayam (IITJMU11093)
S.No,CEL002U2M,Fluid Mechanics and Hydraulic Engineering,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Chembolu Vinay (IITJMU11085)
S.No,CEL006U3M,Design of Reinforced Concrete Structures,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Rimen Jamatia (IITJMU11051)
S.No,CEL007U2M,Soil Mechanics,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Prasun Halder (IITJMU11103)
S.No,CEL009U2M,Water Supply and Waste Water Engineering,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Pratik Kumar (IITJMU11092)
S.No,CEL013P4G,Finite Element Methods in Engineering Research,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Rimen Jamatia (IITJMU11051)
S.No,CEL014P2E,Ventilation and Safety in Tunnels,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Pervaiz Fathima Khatoon M (IITJMU11082)
S.No,CEL018P6G,Theory of Concrete Structures,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Rajendra Kumar Varma (IITJMU11016)
S.No,CEL019P5G,Fundamentals of Remote Sensing,Open Category,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Divyesh Varade (IITJMU11080)
